accession	keywords	base_count	last_updated	first_public	description
AF006565		3462	2005-04-15	1997-09-11	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
KX384731		2658	2017-01-03	2017-01-03	Drosophila takahashii strain IND_DT_U7 alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, partial cds.
X13812	ADH gene, alcohol dehydrogenase	3886	2006-11-14	1992-04-21	D.affinidisjuncta Adh gene for alcohol dehydrogenase
X62223	ADH gene, alcohol dehydrogenase	3477	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62229	ADH gene, alcohol dehydrogenase	3494	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62217	ADH gene, alcohol dehydrogenase	3468	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62218	ADH gene, alcohol dehydrogenase	3486	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
AY331979		785	2005-04-16	2003-07-26	Drosophila lini alcohol dehydrogenase gene, partial cds.
X62190	ADH gene, alcohol dehydrogenase	3485	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62210	ADH gene, alcohol dehydrogenase	3454	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62224	ADH gene, alcohol dehydrogenase	3474	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62235	ADH gene, alcohol dehydrogenase	3479	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64468	ADH gene, alcohol dehydrogenase	3476	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64487	ADH gene, alcohol dehydrogenase	3474	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62221	ADH gene, alcohol dehydrogenase	3483	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62232	ADH gene, alcohol dehydrogenase	3499	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62183	ADH gene, alcohol dehydrogenase	3499	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64470	ADH gene, alcohol dehydrogenase	3498	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64476	ADH gene, alcohol dehydrogenase	3457	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62196	ADH gene, alcohol dehydrogenase	3479	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62211	ADH gene, alcohol dehydrogenase	3475	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
AY006415		510	2005-09-26	2001-09-04	Drosophila heteroneura alcohol dehydrogenase (Adh) gene, partial cds.
